movie_id,tmdb_id,release_date,genres,original_language,runtime,vote_average,poster_path,title,overview
10-cloverfield-lane,333371,2016-03-10,"['Thriller', 'Science Fiction', 'Drama', 'Horror']",en,104,3.5,/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,10 Cloverfield Lane,"After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, where he claims to have saved her from an apocalyptic attack that has left the outside world uninhabitable."
10-things-i-hate-about-you,4951,1999-03-30,"['Comedy', 'Romance', 'Drama']",en,97,3.8,/ujERk3aKABXU3NDXOAxEQYTHe9A.jpg,10 Things I Hate About You,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own."
10-to-midnight,18587,1983-03-11,"['Crime', 'Drama', 'Thriller']",en,102,3.1,/ykeDbePv1xtyyWsE6PhmunvDTKw.jpg,10 to Midnight,"Warren Stacy, an office equipment repairman, begins murdering women after they reject his advances. To minimize the evidence, Stacy always kills while naked, wearing nothing but gloves, and further evades the law with his strong alibis. Veteran detective Leo Kessler is convinced of Stacy's guilt and begins using questionable methods to catch him."
10000-bc,7840,2008-03-04,"['Adventure', 'Action', 'Drama', 'Fantasy']",en,109,2.7,/9I7gV6wRbGnbfI3XOKjHeLMjYEo.jpg,"10,000 BC",A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.
101-dalmatians,11674,1996-11-27,"['Family', 'Comedy']",en,103,3.0,/8o2ADoAyG796UwTjwBFjPyBz0yG.jpg,101 Dalmatians,"An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess."
102-dalmatians,10481,2000-10-07,"['Family', 'Comedy']",en,100,2.8,/ueE6u2GTECzGBtas6PFx7wwi9y0.jpg,102 Dalmatians,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth - a parrot who thinks he's a Rottweiler - teams up with Oddball - an un-marked Dalmatian puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil."
12-angry-men,389,1957-04-10,['Drama'],en,97,4.2,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other."
12-hour-shift,667141,2020-10-02,"['Comedy', 'Crime', 'Horror']",en,88,2.8,/y40lD9qpKxnzsdKqAA1TiEKX5gb.jpg,12 Hour Shift,"It's 1999 and over the course of one 12-hour shift at an Arkansas hospital, a junkie nurse, her scheming cousin and a group of black market organ-trading criminals start a heist that could lead to their collective demise."
12-strong,429351,2018-01-18,"['War', 'Drama', 'Action', 'History']",en,130,3.2,/iFVFgcOEikwkf9gTBpWjDw7l69S.jpg,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.
12-years-a-slave,76203,2013-10-18,"['Drama', 'History']",en,134,4.0,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life."
127-hours,44115,2010-11-12,"['Adventure', 'Drama', 'Thriller']",en,94,3.5,/h0RMdn0rfl9l5hWXz3tUh6QVkhi.jpg,127 Hours,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.
